program,vtable_id,slot_index,target,slot_name,confidence,evidence_id
wiz8,GrCycle.primary,0,004a5f00,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,1,004a7140,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,2,004a6e20,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,3,004a6fc0,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,4,004a7470,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,5,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,6,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,7,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,8,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,9,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,10,004a7dd0,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,11,004a7e10,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,12,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,13,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,14,004a72f0,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.primary,15,005e1d9a,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,0,004a9100,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,1,004538b0,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,2,004538c0,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,3,004a7140,,strong,classes:wiz8:GrCycle
wiz8,GrCycle.secondary_0x18,4,00456020,,strong,classes:wiz8:GrCycle
wiz8,Monster.primary,0,004beba0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,1,004ca9e0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,2,004bf8c0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,3,004bf970,,strong,classes:wiz8:Monster
wiz8,Monster.primary,4,004bf920,,strong,classes:wiz8:Monster
wiz8,Monster.primary,5,004bf0f0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,6,004cae30,,strong,classes:wiz8:Monster
wiz8,Monster.primary,7,004538b0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,8,004538c0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,9,004a7140,,strong,classes:wiz8:Monster
wiz8,Monster.primary,10,004ca840,,strong,classes:wiz8:Monster
wiz8,Monster.primary,11,004bfde0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,12,004c2bf0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,13,004a6e20,,strong,classes:wiz8:Monster
wiz8,Monster.primary,14,004a6fc0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,15,004c2e60,,strong,classes:wiz8:Monster
wiz8,Monster.primary,16,004caa40,,strong,classes:wiz8:Monster
wiz8,Monster.primary,17,004c3740,,strong,classes:wiz8:Monster
wiz8,Monster.primary,18,004c3dd0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,19,004caa90,,strong,classes:wiz8:Monster
wiz8,Monster.primary,20,004cab00,,strong,classes:wiz8:Monster
wiz8,Monster.primary,21,004c3df0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,22,004c3ed0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,23,004c3790,,strong,classes:wiz8:Monster
wiz8,Monster.primary,24,004cab10,,strong,classes:wiz8:Monster
wiz8,Monster.primary,25,004c32e0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,26,004c3f00,,strong,classes:wiz8:Monster
wiz8,Monster.primary,27,004c2100,,strong,classes:wiz8:Monster
wiz8,Monster.primary,28,004caac0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,29,004c72a0,,strong,classes:wiz8:Monster
wiz8,Monster.primary,30,004c3e60,,strong,classes:wiz8:Monster
wiz8,MonsterInfoDialog.primary,0,005d5ee0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,1,005d5f90,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,2,005dbde0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,3,005d6080,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,4,005d6fa0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,5,005dc940,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,6,005dc9c0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,7,005dc9f0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,8,005dca70,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,9,005dcce0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,10,005b1be0,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,11,005ad270,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,12,005d6e60,,strong,classes:wiz8:MonsterInfoDialog
wiz8,MonsterInfoDialog.primary,13,005d6e70,,strong,classes:wiz8:MonsterInfoDialog
