program,class_name,offset,size,field_name,data_type,confidence,evidence_id,description
wiz8,GrCycle,0x0,0x4,vptr,pointer,strong,classes:wiz8:GrCycle,primary vtable GrCycle.primary
wiz8,GrCycle,0x4,0x14,primary_base_storage,bytes,strong,classes:wiz8:GrCycle,unnamed primary base constructed by 0x004b6900; total base size 0x18
wiz8,GrCycle,0x18,0x4,secondary_vptr,pointer,strong,classes:wiz8:GrCycle,secondary vtable GrCycle.secondary_0x18
wiz8,GrCycle,0x1c,0x18c,secondary_base_storage,bytes,strong,classes:wiz8:GrCycle,unnamed secondary base constructed by 0x00451ec0; total base size 0x190
wiz8,GrCycle,0x1a8,0x30,fields,bytes,strong,classes:wiz8:GrCycle,GrCycle-owned fields initialized by 0x004a5e50 through offset 0x1d4
wiz8,Monster,0x0,0x4,vptr,pointer,strong,classes:wiz8:Monster,vtable Monster.primary
wiz8,Monster,0x4,0x20,base_and_fields,bytes,strong,classes:wiz8:Monster,base-class and fields before positional member +0x18 field +0x0c are not yet reviewed
wiz8,Monster,0x24,0x4,member18_flags_0c,int32,exact,classes:wiz8:Monster,exact-width bitfield at positional member +0x18 field +0x0c; 0x004e4600 clears bit 0x20000000
wiz8,Monster,0x28,0x4c,member18_unknown_10,bytes,strong,classes:wiz8:Monster,opaque storage in the positional +0x18 member before its reviewed +0x5c field
wiz8,Monster,0x74,0x4,member18_value_5c,int32,exact,classes:wiz8:Monster,exact 0x004e6020 tests positional member +0x18 field +0x5c before calling 0x004537e0 on that member
wiz8,Monster,0x78,0x28,member18_unknown_60,bytes,strong,classes:wiz8:Monster,opaque storage in the positional +0x18 member before its reviewed +0x88 byte
wiz8,Monster,0xa0,0x1,member18_unknown_88,bytes,exact,classes:wiz8:Monster,positional member +0x18 field +0x88 is set to one by exact consumer 0x004e6130 when an unborn monster becomes live
wiz8,Monster,0xa1,0x3,member18_unknown_89,bytes,strong,classes:wiz8:Monster,opaque positional member storage before the current-cycle byte
wiz8,Monster,0xa4,0x1,member18_current_cycle_8c,bytes,exact,classes:wiz8:Monster,GetNumSubsPerCycle substitutes this signed byte when its cycle argument is -1
wiz8,Monster,0xa5,0x7,member18_unknown_8d,bytes,strong,classes:wiz8:Monster,opaque tail of the positional +0x18 member before the cycle array
wiz8,Monster,0xac,0x12c,subobject_array_ac_prefix,bytes,strong,classes:wiz8:Monster,leading storage of the 27 adjacent 0x10-byte subobjects through cycle 18 byte +0x0b
wiz8,Monster,0x1d8,0x4,cycle18_pointer_0c,pointer,exact,classes:wiz8:Monster,exact consumer 0x004e60b0 dereferences cycle 18 field +0x0c then reads signed byte +0xa7
wiz8,Monster,0x1dc,0x39,subobject_array_ac_middle,bytes,strong,classes:wiz8:Monster,remainder through cycle 22 byte +0x08
wiz8,Monster,0x215,0x1,cycle22_unknown_09,bytes,exact,classes:wiz8:Monster,cleared by exact consumer 0x004e6130 after the monster enters the live list
wiz8,Monster,0x216,0x46,subobject_array_ac_suffix,bytes,strong,classes:wiz8:Monster,remainder of the 27 adjacent 0x10-byte subobjects
wiz8,Monster,0x25c,0x1b0,subobject_array_25c,bytes,strong,classes:wiz8:Monster,27 adjacent 0x10-byte subobjects
wiz8,Monster,0x40c,0x1b0,subobject_array_40c,bytes,strong,classes:wiz8:Monster,27 adjacent 0x10-byte subobjects
wiz8,Monster,0x5bc,0x6c,tail_fields,bytes,strong,classes:wiz8:Monster,fields observed through offset 0x624
wiz8,MonsterInfoDialog,0x0,0x4,vptr,pointer,strong,classes:wiz8:MonsterInfoDialog,vtable MonsterInfoDialog.primary
wiz8,MonsterInfoDialog,0x4,0x50,base_storage,bytes,strong,classes:wiz8:MonsterInfoDialog,unnamed base constructed by 0x005dc7a0; total base size 0x54
wiz8,MonsterInfoDialog,0x54,0x4,constructor_argument_54,pointer,strong,classes:wiz8:MonsterInfoDialog,second constructor argument retained at offset 0x54
wiz8,MonsterInfoDialog,0x58,0x4c,member_58,bytes,strong,classes:wiz8:MonsterInfoDialog,embedded member constructed and destroyed as one subobject
wiz8,MonsterInfoDialog,0xa4,0x48,member_a4,bytes,exact,classes:wiz8:MonsterInfoDialog,embedded W8DialogMember005DB1B0 with byte-exact constructor and destructor
wiz8,MonsterInfoDialog,0xec,0x58,member_ec,bytes,strong,classes:wiz8:MonsterInfoDialog,embedded W8DialogMember005D14D0 with byte-exact constructor and destructor; 0x58 is its proven aligned minimum after a write through dialog offset 0x142
wiz8,W8DialogMember005DB1B0,0x0,0x4,vptr,pointer,exact,classes:wiz8:W8DialogMember005DB1B0,one-slot vtable at 0x005efa98
wiz8,W8DialogMember005DB1B0,0x4,0x14,unknown_004,bytes,exact,classes:wiz8:W8DialogMember005DB1B0,five positional dwords initialized to -1
