address,size,current_name,provisional_name,owner,confidence,name_origin,authority,fid_variants,evidence
00401000,,entry,__WinMainCRTStartup,msvc6-runtime,strong,descriptive,descriptive,,"The PE optional header's entry point in a subsystem-2 image, running the standard MSVC 6 GUI startup sequence: SEH frame, __setusermatherr, __getmainargs, both _initterm tables, _acmdln parsing, GetStartupInfoA, then WinMain and exit. The name is the toolchain's convention rather than anything the binary states, so it stays descriptive until a FID match against a pinned CRT snapshot corroborates it"
0040115e,6,FUN_0040115e,_XcptFilter,msvc6-runtime,exact,original-export,abi-backed,,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB10C)"
00401164,6,FUN_00401164,_initterm,msvc6-runtime,exact,original-export,abi-backed,,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB0FC); called twice from the CRT entry, for the C and C++ initializer tables"
004011c0,6,FUN_004011c0,_except_handler3,msvc6-runtime,exact,original-export,abi-backed,,"Six-byte linker import thunk; the MSVCRT import table names the target directly, so the name is read off the IAT rather than inferred (IAT slot 0x005EB0DC); installed as the CRT entry's SEH handler"
005e1c30,104,__aulldiv,__aulldiv,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,All five pinned VC6 CRT snapshots produce the same symbol and matching body
005e1ca0,52,__allmul,__allmul,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,All five pinned VC6 CRT snapshots produce the same symbol and matching body
005e1cf0,170,FUN_005e1cf0,__alldiv,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,All five pinned VC6 CRT snapshots produce the same symbol and matching body
005e1da0,47,FUN_005e1da0,__alloca_probe,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,All five pinned VC6 CRT snapshots produce the same symbol and matching body
005e1dd0,31,__aullshr,__aullshr,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,All five pinned VC6 CRT snapshots produce the same symbol and matching body
005e1def,106,FUN_005e1def,??_L@YGXPAXIHP6EX0@Z1@Z,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,Full FID match to the VC6 vector-constructor iterator in every pinned CRT snapshot
005e1e71,104,FUN_005e1e71,??_M@YGXPAXIHP6EX0@Z@Z,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,Full FID match to the VC6 vector-destructor iterator in every pinned CRT snapshot
005e1ef1,81,FUN_005e1ef1,?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z,msvc6-runtime,high,original-export,abi-backed,rtm|sp3|sp4|sp5|sp6,Full FID match to the VC6 array-unwind helper in every pinned CRT snapshot
